program,gate,gate_name,gate_bits,cells,is_lambda16_term,short_form,example_G,example_X,example_Y
237,8,NOR,'0001,4,no,λpqab.p (q (p (q b a) a) (p (q a b) b)) (q (p (q a b) b) (p (q b a) a)),XOR,XNOR,AND
238,9,NOT P,'0011,4,no,λpqab.p (q (p (q b a) a) (p (q a b) b)) (p (q b a) a),XOR,IMPLIES (p -> q),AND
239,14,CONVERSE (q -> p),'1101,4,no,λpqab.q (p (q a b) b) (p (q b a) a),XOR,NOT Q,AND
240,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) b) (p (q b a) a)) (p (q b a) a),XOR,NAND,AND
241,12,NOT Q,'0101,4,no,λpqab.p (p (q b a) a) (q (p (q a b) b) (p (q b a) a)),XOR,CONVERSE (q -> p),AND
242,2,AND,'1000,4,no,λpqab.p (q a b) (q (q b a) (q a b)),XOR,q AND NOT p,Q
243,1,q AND NOT p,'0010,4,no,λpqab.p (q (q b a) (q a b)) (q a b),XOR,AND,Q
244,0,FALSE,'0000,4,no,λpqab.q (q b a) (q a b),XOR,Q,Q
245,7,OR,'1110,4,no,λpqab.p (q (q a b) (q b a)) (q a b),XOR,p AND NOT q,Q
246,6,P,'1100,4,no,λpqab.p (q (q a b) (q b a)) (q (q b a) (q a b)),XOR,XOR,Q
247,4,p AND NOT q,'0100,4,no,λpqab.p (q b a) (q (q b a) (q a b)),XOR,OR,Q
248,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a b) (q (q a b) (q b a)),XOR,NOR,Q
249,9,NOT P,'0011,4,no,λpqab.p (q (q b a) (q a b)) (q (q a b) (q b a)),XOR,XNOR,Q
250,8,NOR,'0001,4,no,λpqab.p (q (q b a) (q a b)) (q b a),XOR,IMPLIES (p -> q),Q
251,15,TRUE,'1111,4,no,λpqab.q (q a b) (q b a),XOR,NOT Q,Q
252,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q (q a b) (q b a)) (q b a),XOR,NAND,Q
253,13,NAND,'0111,4,no,λpqab.p (q b a) (q (q a b) (q b a)),XOR,CONVERSE (q -> p),Q
254,5,XOR,'0110,4,no,λpqab.p (p (q b a) b) (q (p (q a b) a) (p (q b a) b)),XOR,q AND NOT p,p AND NOT q
255,6,P,'1100,4,no,λpqab.p (q (p (q a b) a) (p (q b a) b)) (p (q b a) b),XOR,AND,p AND NOT q
256,7,OR,'1110,4,no,λpqab.q (p (q a b) a) (p (q b a) b),XOR,Q,p AND NOT q
257,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) b) (p (q a b) a)) (p (q b a) b),XOR,p AND NOT q,p AND NOT q
258,1,q AND NOT p,'0010,4,no,λpqab.p (q (p (q b a) b) (p (q a b) a)) (q (p (q a b) a) (p (q b a) b)),XOR,XOR,p AND NOT q
259,2,AND,'1000,4,no,λpqab.p (p (q a b) a) (p (q b a) b),XOR,P,p AND NOT q
260,3,Q,'1010,4,no,λpqab.p (p (q a b) a) (q (p (q a b) a) (p (q b a) b)),XOR,OR,p AND NOT q
261,12,NOT Q,'0101,4,no,λpqab.p (p (q b a) b) (q (p (q b a) b) (p (q a b) a)),XOR,NOR,p AND NOT q
262,13,NAND,'0111,4,no,λpqab.p (p (q b a) b) (p (q a b) a),XOR,NOT P,p AND NOT q
263,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q (p (q a b) a) (p (q b a) b)) (q (p (q b a) b) (p (q a b) a)),XOR,XNOR,p AND NOT q
264,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) a) (p (q b a) b)) (p (q a b) a),XOR,IMPLIES (p -> q),p AND NOT q
265,8,NOR,'0001,4,no,λpqab.q (p (q b a) b) (p (q a b) a),XOR,NOT Q,p AND NOT q
266,9,NOT P,'0011,4,no,λpqab.p (q (p (q b a) b) (p (q a b) a)) (p (q a b) a),XOR,NAND,p AND NOT q
267,10,XNOR,'1001,4,no,λpqab.p (p (q a b) a) (q (p (q b a) b) (p (q a b) a)),XOR,CONVERSE (q -> p),p AND NOT q
268,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) (q a b)) (q (p (q a b) (q b a)) (p (q b a) (q a b))),XOR,q AND NOT p,XOR
269,7,OR,'1110,4,no,λpqab.p (q (p (q a b) (q b a)) (p (q b a) (q a b))) (p (q b a) (q a b)),XOR,AND,XOR
270,6,P,'1100,4,no,λpqab.q (p (q a b) (q b a)) (p (q b a) (q a b)),XOR,Q,XOR
271,1,q AND NOT p,'0010,4,no,λpqab.p (q (p (q b a) (q a b)) (p (q a b) (q b a))) (p (q b a) (q a b)),XOR,p AND NOT q,XOR
272,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) (q a b)) (p (q a b) (q b a))) (q (p (q a b) (q b a)) (p (q b a) (q a b))),XOR,XOR,XOR
273,3,Q,'1010,4,no,λpqab.p (p (q a b) (q b a)) (p (q b a) (q a b)),XOR,P,XOR
274,2,AND,'1000,4,no,λpqab.p (p (q a b) (q b a)) (q (p (q a b) (q b a)) (p (q b a) (q a b))),XOR,OR,XOR
275,13,NAND,'0111,4,no,λpqab.p (p (q b a) (q a b)) (q (p (q b a) (q a b)) (p (q a b) (q b a))),XOR,NOR,XOR
276,12,NOT Q,'0101,4,no,λpqab.p (p (q b a) (q a b)) (p (q a b) (q b a)),XOR,NOT P,XOR
277,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) (q b a)) (p (q b a) (q a b))) (q (p (q b a) (q a b)) (p (q a b) (q b a))),XOR,XNOR,XOR
278,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q (p (q a b) (q b a)) (p (q b a) (q a b))) (p (q a b) (q b a)),XOR,IMPLIES (p -> q),XOR
279,9,NOT P,'0011,4,no,λpqab.q (p (q b a) (q a b)) (p (q a b) (q b a)),XOR,NOT Q,XOR
280,8,NOR,'0001,4,no,λpqab.p (q (p (q b a) (q a b)) (p (q a b) (q b a))) (p (q a b) (q b a)),XOR,NAND,XOR
281,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) (q b a)) (q (p (q b a) (q a b)) (p (q a b) (q b a))),XOR,CONVERSE (q -> p),XOR
282,7,OR,'1110,4,no,λpqab.p (p a b) (q (p b a) (p a b)),XOR,q AND NOT p,P
283,4,p AND NOT q,'0100,4,no,λpqab.p (q (p b a) (p a b)) (p a b),XOR,AND,P
284,5,XOR,'0110,4,no,λpqab.q (p b a) (p a b),XOR,Q,P
285,2,AND,'1000,4,no,λpqab.p (q (p a b) (p b a)) (p a b),XOR,p AND NOT q,P
286,3,Q,'1010,4,no,λpqab.p (q (p a b) (p b a)) (q (p b a) (p a b)),XOR,XOR,P
287,0,FALSE,'0000,4,no,λpqab.p (p b a) (p a b),XOR,P,P
288,1,q AND NOT p,'0010,4,no,λpqab.p (p b a) (q (p b a) (p a b)),XOR,OR,P
289,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (p a b) (q (p a b) (p b a)),XOR,NOR,P
290,15,TRUE,'1111,4,no,λpqab.p (p a b) (p b a),XOR,NOT P,P
291,12,NOT Q,'0101,4,no,λpqab.p (q (p b a) (p a b)) (q (p a b) (p b a)),XOR,XNOR,P
292,13,NAND,'0111,4,no,λpqab.p (q (p b a) (p a b)) (p b a),XOR,IMPLIES (p -> q),P
293,10,XNOR,'1001,4,no,λpqab.q (p a b) (p b a),XOR,NOT Q,P
294,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q (p a b) (p b a)) (p b a),XOR,NAND,P
295,8,NOR,'0001,4,no,λpqab.p (p b a) (q (p a b) (p b a)),XOR,CONVERSE (q -> p),P
296,6,P,'1100,4,no,λpqab.p (p a (q a b)) (q (p b (q b a)) (p a (q a b))),XOR,q AND NOT p,OR
297,5,XOR,'0110,4,no,λpqab.p (q (p b (q b a)) (p a (q a b))) (p a (q a b)),XOR,AND,OR
298,4,p AND NOT q,'0100,4,no,λpqab.q (p b (q b a)) (p a (q a b)),XOR,Q,OR
299,3,Q,'1010,4,no,λpqab.p (q (p a (q a b)) (p b (q b a))) (p a (q a b)),XOR,p AND NOT q,OR
300,2,AND,'1000,4,no,λpqab.p (q (p a (q a b)) (p b (q b a))) (q (p b (q b a)) (p a (q a b))),XOR,XOR,OR
301,1,q AND NOT p,'0010,4,no,λpqab.p (p b (q b a)) (p a (q a b)),XOR,P,OR
302,0,FALSE,'0000,4,no,λpqab.p (p b (q b a)) (q (p b (q b a)) (p a (q a b))),XOR,OR,OR
303,15,TRUE,'1111,4,no,λpqab.p (p a (q a b)) (q (p a (q a b)) (p b (q b a))),XOR,NOR,OR
304,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (p a (q a b)) (p b (q b a)),XOR,NOT P,OR
305,13,NAND,'0111,4,no,λpqab.p (q (p b (q b a)) (p a (q a b))) (q (p a (q a b)) (p b (q b a))),XOR,XNOR,OR
306,12,NOT Q,'0101,4,no,λpqab.p (q (p b (q b a)) (p a (q a b))) (p b (q b a)),XOR,IMPLIES (p -> q),OR
307,11,IMPLIES (p -> q),'1011,4,no,λpqab.q (p a (q a b)) (p b (q b a)),XOR,NOT Q,OR
308,10,XNOR,'1001,4,no,λpqab.p (q (p a (q a b)) (p b (q b a))) (p b (q b a)),XOR,NAND,OR
309,9,NOT P,'0011,4,no,λpqab.p (p b (q b a)) (q (p a (q a b)) (p b (q b a))),XOR,CONVERSE (q -> p),OR
310,1,q AND NOT p,'0010,4,no,λpqab.p (p b (q a b)) (q a (p b (q a b))),OR,q AND NOT p,q AND NOT p
311,3,Q,'1010,4,no,λpqab.p (q a (p b (q a b))) (p b (q a b)),OR,AND,q AND NOT p
312,3,Q,'1010,4,no,λpqab.q a (p b (q a b)),OR,Q,q AND NOT p
313,5,XOR,'0110,4,no,λpqab.p (q (p b (q a b)) a) (p b (q a b)),OR,p AND NOT q,q AND NOT p
314,5,XOR,'0110,4,no,λpqab.p (q (p b (q a b)) a) (q a (p b (q a b))),OR,XOR,q AND NOT p
315,7,OR,'1110,4,no,λpqab.p a (p b (q a b)),OR,P,q AND NOT p
316,7,OR,'1110,4,no,λpqab.p a (q a (p b (q a b))),OR,OR,q AND NOT p
317,9,NOT P,'0011,4,no,λpqab.p (p b (q a b)) (q (p b (q a b)) a),OR,NOR,q AND NOT p
318,9,NOT P,'0011,4,no,λpqab.p (p b (q a b)) a,OR,NOT P,q AND NOT p
319,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p b (q a b))) (q (p b (q a b)) a),OR,XNOR,q AND NOT p
320,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p b (q a b))) a,OR,IMPLIES (p -> q),q AND NOT p
321,13,NAND,'0111,4,no,λpqab.q (p b (q a b)) a,OR,NOT Q,q AND NOT p
322,13,NAND,'0111,4,no,λpqab.p (q (p b (q a b)) a) a,OR,NAND,q AND NOT p
323,15,TRUE,'1111,4,no,λpqab.p a (q (p b (q a b)) a),OR,CONVERSE (q -> p),q AND NOT p
324,3,Q,'1010,4,no,λpqab.p (p (q a b) b) (q a (p (q a b) b)),OR,q AND NOT p,AND
325,2,AND,'1000,4,no,λpqab.p (q a (p (q a b) b)) (p (q a b) b),OR,AND,AND
326,3,Q,'1010,4,no,λpqab.q a (p (q a b) b),OR,Q,AND
327,6,P,'1100,4,no,λpqab.p (q (p (q a b) b) a) (p (q a b) b),OR,p AND NOT q,AND
328,7,OR,'1110,4,no,λpqab.p (q (p (q a b) b) a) (q a (p (q a b) b)),OR,XOR,AND
329,6,P,'1100,4,no,λpqab.p a (p (q a b) b),OR,P,AND
330,7,OR,'1110,4,no,λpqab.p a (q a (p (q a b) b)),OR,OR,AND
331,10,XNOR,'1001,4,no,λpqab.p (p (q a b) b) (q (p (q a b) b) a),OR,NOR,AND
332,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) b) a,OR,NOT P,AND
333,10,XNOR,'1001,4,no,λpqab.p (q a (p (q a b) b)) (q (p (q a b) b) a),OR,XNOR,AND
334,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p (q a b) b)) a,OR,IMPLIES (p -> q),AND
335,14,CONVERSE (q -> p),'1101,4,no,λpqab.q (p (q a b) b) a,OR,NOT Q,AND
336,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) b) a) a,OR,NAND,AND
337,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (q (p (q a b) b) a),OR,CONVERSE (q -> p),AND
338,3,Q,'1010,4,no,λpqab.p (q a b) (q a (q a b)),OR,q AND NOT p,Q
339,3,Q,'1010,4,no,λpqab.p (q a (q a b)) (q a b),OR,AND,Q
340,3,Q,'1010,4,no,λpqab.q a (q a b),OR,Q,Q
341,7,OR,'1110,4,no,λpqab.p (q (q a b) a) (q a b),OR,p AND NOT q,Q
342,7,OR,'1110,4,no,λpqab.p (q (q a b) a) (q a (q a b)),OR,XOR,Q
343,7,OR,'1110,4,no,λpqab.p a (q a (q a b)),OR,OR,Q
344,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a b) (q (q a b) a),OR,NOR,Q
345,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (q a b)) (q (q a b) a),OR,XNOR,Q
346,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (q a b)) a,OR,IMPLIES (p -> q),Q
347,15,TRUE,'1111,4,no,λpqab.q (q a b) a,OR,NOT Q,Q
348,15,TRUE,'1111,4,no,λpqab.p (q (q a b) a) a,OR,NAND,Q
349,15,TRUE,'1111,4,no,λpqab.p a (q (q a b) a),OR,CONVERSE (q -> p),Q
350,5,XOR,'0110,4,no,λpqab.p (p (q b a) b) (q a (p (q b a) b)),OR,q AND NOT p,p AND NOT q
351,6,P,'1100,4,no,λpqab.p (q a (p (q b a) b)) (p (q b a) b),OR,AND,p AND NOT q
352,7,OR,'1110,4,no,λpqab.q a (p (q b a) b),OR,Q,p AND NOT q
353,4,p AND NOT q,'0100,4,no,λpqab.p (q (p (q b a) b) a) (p (q b a) b),OR,p AND NOT q,p AND NOT q
354,5,XOR,'0110,4,no,λpqab.p (q (p (q b a) b) a) (q a (p (q b a) b)),OR,XOR,p AND NOT q
355,6,P,'1100,4,no,λpqab.p a (p (q b a) b),OR,P,p AND NOT q
356,7,OR,'1110,4,no,λpqab.p a (q a (p (q b a) b)),OR,OR,p AND NOT q
357,12,NOT Q,'0101,4,no,λpqab.p (p (q b a) b) (q (p (q b a) b) a),OR,NOR,p AND NOT q
358,13,NAND,'0111,4,no,λpqab.p (p (q b a) b) a,OR,NOT P,p AND NOT q
359,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q a (p (q b a) b)) (q (p (q b a) b) a),OR,XNOR,p AND NOT q
360,15,TRUE,'1111,4,no,λpqab.p (q a (p (q b a) b)) a,OR,IMPLIES (p -> q),p AND NOT q
361,12,NOT Q,'0101,4,no,λpqab.q (p (q b a) b) a,OR,NOT Q,p AND NOT q
362,13,NAND,'0111,4,no,λpqab.p (q (p (q b a) b) a) a,OR,NAND,p AND NOT q
363,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (q (p (q b a) b) a),OR,CONVERSE (q -> p),p AND NOT q
364,5,XOR,'0110,4,no,λpqab.p (p (q b a) (q a b)) (q a (p (q b a) (q a b))),OR,q AND NOT p,XOR
365,7,OR,'1110,4,no,λpqab.p (q a (p (q b a) (q a b))) (p (q b a) (q a b)),OR,AND,XOR
366,7,OR,'1110,4,no,λpqab.q a (p (q b a) (q a b)),OR,Q,XOR
367,5,XOR,'0110,4,no,λpqab.p (q (p (q b a) (q a b)) a) (p (q b a) (q a b)),OR,p AND NOT q,XOR
368,5,XOR,'0110,4,no,λpqab.p (q (p (q b a) (q a b)) a) (q a (p (q b a) (q a b))),OR,XOR,XOR
369,7,OR,'1110,4,no,λpqab.p a (p (q b a) (q a b)),OR,P,XOR
370,7,OR,'1110,4,no,λpqab.p a (q a (p (q b a) (q a b))),OR,OR,XOR
371,13,NAND,'0111,4,no,λpqab.p (p (q b a) (q a b)) (q (p (q b a) (q a b)) a),OR,NOR,XOR
372,13,NAND,'0111,4,no,λpqab.p (p (q b a) (q a b)) a,OR,NOT P,XOR
373,15,TRUE,'1111,4,no,λpqab.p (q a (p (q b a) (q a b))) (q (p (q b a) (q a b)) a),OR,XNOR,XOR
374,15,TRUE,'1111,4,no,λpqab.p (q a (p (q b a) (q a b))) a,OR,IMPLIES (p -> q),XOR
375,13,NAND,'0111,4,no,λpqab.q (p (q b a) (q a b)) a,OR,NOT Q,XOR
376,13,NAND,'0111,4,no,λpqab.p (q (p (q b a) (q a b)) a) a,OR,NAND,XOR
377,15,TRUE,'1111,4,no,λpqab.p a (q (p (q b a) (q a b)) a),OR,CONVERSE (q -> p),XOR
378,7,OR,'1110,4,no,λpqab.p (p a b) (q a (p a b)),OR,q AND NOT p,P
379,6,P,'1100,4,no,λpqab.p (q a (p a b)) (p a b),OR,AND,P
380,7,OR,'1110,4,no,λpqab.q a (p a b),OR,Q,P
381,6,P,'1100,4,no,λpqab.p (q (p a b) a) (p a b),OR,p AND NOT q,P
382,7,OR,'1110,4,no,λpqab.p (q (p a b) a) (q a (p a b)),OR,XOR,P
383,6,P,'1100,4,no,λpqab.p a (p a b),OR,P,P
384,7,OR,'1110,4,no,λpqab.p a (q a (p a b)),OR,OR,P
385,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (p a b) (q (p a b) a),OR,NOR,P
386,15,TRUE,'1111,4,no,λpqab.p (p a b) a,OR,NOT P,P
387,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q a (p a b)) (q (p a b) a),OR,XNOR,P
388,15,TRUE,'1111,4,no,λpqab.p (q a (p a b)) a,OR,IMPLIES (p -> q),P
389,14,CONVERSE (q -> p),'1101,4,no,λpqab.q (p a b) a,OR,NOT Q,P
390,15,TRUE,'1111,4,no,λpqab.p (q (p a b) a) a,OR,NAND,P
391,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (q (p a b) a),OR,CONVERSE (q -> p),P
392,7,OR,'1110,4,no,λpqab.p (p a (q a b)) (q a (p a (q a b))),OR,q AND NOT p,OR
393,7,OR,'1110,4,no,λpqab.p (q a (p a (q a b))) (p a (q a b)),OR,AND,OR
394,7,OR,'1110,4,no,λpqab.q a (p a (q a b)),OR,Q,OR
395,7,OR,'1110,4,no,λpqab.p (q (p a (q a b)) a) (p a (q a b)),OR,p AND NOT q,OR
396,7,OR,'1110,4,no,λpqab.p (q (p a (q a b)) a) (q a (p a (q a b))),OR,XOR,OR
397,7,OR,'1110,4,no,λpqab.p a (p a (q a b)),OR,P,OR
398,7,OR,'1110,4,no,λpqab.p a (q a (p a (q a b))),OR,OR,OR
399,15,TRUE,'1111,4,no,λpqab.p (p a (q a b)) (q (p a (q a b)) a),OR,NOR,OR
400,15,TRUE,'1111,4,no,λpqab.p (p a (q a b)) a,OR,NOT P,OR
401,15,TRUE,'1111,4,no,λpqab.p (q a (p a (q a b))) (q (p a (q a b)) a),OR,XNOR,OR
402,15,TRUE,'1111,4,no,λpqab.p (q a (p a (q a b))) a,OR,IMPLIES (p -> q),OR
403,15,TRUE,'1111,4,no,λpqab.q (p a (q a b)) a,OR,NOT Q,OR
404,15,TRUE,'1111,4,no,λpqab.p (q (p a (q a b)) a) a,OR,NAND,OR
405,15,TRUE,'1111,4,no,λpqab.p a (q (p a (q a b)) a),OR,CONVERSE (q -> p),OR
406,9,NOT P,'0011,4,no,λpqab.p (p b (q b a)) (q a (p b (q b a))),OR,q AND NOT p,NOR
407,10,XNOR,'1001,4,no,λpqab.p (q a (p b (q b a))) (p b (q b a)),OR,AND,NOR
408,11,IMPLIES (p -> q),'1011,4,no,λpqab.q a (p b (q b a)),OR,Q,NOR
409,12,NOT Q,'0101,4,no,λpqab.p (q (p b (q b a)) a) (p b (q b a)),OR,p AND NOT q,NOR
410,13,NAND,'0111,4,no,λpqab.p (q (p b (q b a)) a) (q a (p b (q b a))),OR,XOR,NOR
411,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (p b (q b a)),OR,P,NOR
412,15,TRUE,'1111,4,no,λpqab.p a (q a (p b (q b a))),OR,OR,NOR
413,8,NOR,'0001,4,no,λpqab.p (p b (q b a)) (q (p b (q b a)) a),OR,NOR,NOR
414,9,NOT P,'0011,4,no,λpqab.p (p b (q b a)) a,OR,NOT P,NOR
415,10,XNOR,'1001,4,no,λpqab.p (q a (p b (q b a))) (q (p b (q b a)) a),OR,XNOR,NOR
416,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p b (q b a))) a,OR,IMPLIES (p -> q),NOR
417,12,NOT Q,'0101,4,no,λpqab.q (p b (q b a)) a,OR,NOT Q,NOR
418,13,NAND,'0111,4,no,λpqab.p (q (p b (q b a)) a) a,OR,NAND,NOR
419,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (q (p b (q b a)) a),OR,CONVERSE (q -> p),NOR
420,9,NOT P,'0011,4,no,λpqab.p (p b a) (q a (p b a)),OR,q AND NOT p,NOT P
421,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p b a)) (p b a),OR,AND,NOT P
422,11,IMPLIES (p -> q),'1011,4,no,λpqab.q a (p b a),OR,Q,NOT P
423,13,NAND,'0111,4,no,λpqab.p (q (p b a) a) (p b a),OR,p AND NOT q,NOT P
424,13,NAND,'0111,4,no,λpqab.p (q (p b a) a) (q a (p b a)),OR,XOR,NOT P
425,15,TRUE,'1111,4,no,λpqab.p a (p b a),OR,P,NOT P
426,15,TRUE,'1111,4,no,λpqab.p a (q a (p b a)),OR,OR,NOT P
427,9,NOT P,'0011,4,no,λpqab.p (p b a) (q (p b a) a),OR,NOR,NOT P
428,9,NOT P,'0011,4,no,λpqab.p (p b a) a,OR,NOT P,NOT P
429,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p b a)) (q (p b a) a),OR,XNOR,NOT P
430,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p b a)) a,OR,IMPLIES (p -> q),NOT P
431,13,NAND,'0111,4,no,λpqab.q (p b a) a,OR,NOT Q,NOT P
432,13,NAND,'0111,4,no,λpqab.p (q (p b a) a) a,OR,NAND,NOT P
433,15,TRUE,'1111,4,no,λpqab.p a (q (p b a) a),OR,CONVERSE (q -> p),NOT P
434,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) (q b a)) (q a (p (q a b) (q b a))),OR,q AND NOT p,XNOR
435,10,XNOR,'1001,4,no,λpqab.p (q a (p (q a b) (q b a))) (p (q a b) (q b a)),OR,AND,XNOR
436,11,IMPLIES (p -> q),'1011,4,no,λpqab.q a (p (q a b) (q b a)),OR,Q,XNOR
437,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q (p (q a b) (q b a)) a) (p (q a b) (q b a)),OR,p AND NOT q,XNOR
438,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) (q b a)) a) (q a (p (q a b) (q b a))),OR,XOR,XNOR
439,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (p (q a b) (q b a)),OR,P,XNOR
440,15,TRUE,'1111,4,no,λpqab.p a (q a (p (q a b) (q b a))),OR,OR,XNOR
441,10,XNOR,'1001,4,no,λpqab.p (p (q a b) (q b a)) (q (p (q a b) (q b a)) a),OR,NOR,XNOR
442,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) (q b a)) a,OR,NOT P,XNOR
443,10,XNOR,'1001,4,no,λpqab.p (q a (p (q a b) (q b a))) (q (p (q a b) (q b a)) a),OR,XNOR,XNOR
444,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p (q a b) (q b a))) a,OR,IMPLIES (p -> q),XNOR
445,14,CONVERSE (q -> p),'1101,4,no,λpqab.q (p (q a b) (q b a)) a,OR,NOT Q,XNOR
446,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) (q b a)) a) a,OR,NAND,XNOR
447,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (q (p (q a b) (q b a)) a),OR,CONVERSE (q -> p),XNOR
448,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) a) (q a (p (q a b) a)),OR,q AND NOT p,IMPLIES (p -> q)
449,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p (q a b) a)) (p (q a b) a),OR,AND,IMPLIES (p -> q)
450,11,IMPLIES (p -> q),'1011,4,no,λpqab.q a (p (q a b) a),OR,Q,IMPLIES (p -> q)
451,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) a) a) (p (q a b) a),OR,p AND NOT q,IMPLIES (p -> q)
452,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) a) a) (q a (p (q a b) a)),OR,XOR,IMPLIES (p -> q)
453,15,TRUE,'1111,4,no,λpqab.p a (p (q a b) a),OR,P,IMPLIES (p -> q)
454,15,TRUE,'1111,4,no,λpqab.p a (q a (p (q a b) a)),OR,OR,IMPLIES (p -> q)
455,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) a) (q (p (q a b) a) a),OR,NOR,IMPLIES (p -> q)
456,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (p (q a b) a) a,OR,NOT P,IMPLIES (p -> q)
457,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p (q a b) a)) (q (p (q a b) a) a),OR,XNOR,IMPLIES (p -> q)
458,11,IMPLIES (p -> q),'1011,4,no,λpqab.p (q a (p (q a b) a)) a,OR,IMPLIES (p -> q),IMPLIES (p -> q)
459,15,TRUE,'1111,4,no,λpqab.q (p (q a b) a) a,OR,NOT Q,IMPLIES (p -> q)
460,15,TRUE,'1111,4,no,λpqab.p (q (p (q a b) a) a) a,OR,NAND,IMPLIES (p -> q)
461,15,TRUE,'1111,4,no,λpqab.p a (q (p (q a b) a) a),OR,CONVERSE (q -> p),IMPLIES (p -> q)
462,13,NAND,'0111,4,no,λpqab.p (q b a) (q a (q b a)),OR,q AND NOT p,NOT Q
463,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q a (q b a)) (q b a),OR,AND,NOT Q
464,15,TRUE,'1111,4,no,λpqab.q a (q b a),OR,Q,NOT Q
465,12,NOT Q,'0101,4,no,λpqab.p (q (q b a) a) (q b a),OR,p AND NOT q,NOT Q
466,13,NAND,'0111,4,no,λpqab.p (q (q b a) a) (q a (q b a)),OR,XOR,NOT Q
467,15,TRUE,'1111,4,no,λpqab.p a (q a (q b a)),OR,OR,NOT Q
468,12,NOT Q,'0101,4,no,λpqab.p (q b a) (q (q b a) a),OR,NOR,NOT Q
469,14,CONVERSE (q -> p),'1101,4,no,λpqab.p (q a (q b a)) (q (q b a) a),OR,XNOR,NOT Q
470,15,TRUE,'1111,4,no,λpqab.p (q a (q b a)) a,OR,IMPLIES (p -> q),NOT Q
471,12,NOT Q,'0101,4,no,λpqab.q (q b a) a,OR,NOT Q,NOT Q
472,13,NAND,'0111,4,no,λpqab.p (q (q b a) a) a,OR,NAND,NOT Q
473,14,CONVERSE (q -> p),'1101,4,no,λpqab.p a (q (q b a) a),OR,CONVERSE (q -> p),NOT Q
474,13,NAND,'0111,4,no,λpqab.p (p (q b a) a) (q a (p (q b a) a)),OR,q AND NOT p,NAND
475,15,TRUE,'1111,4,no,λpqab.p (q a (p (q b a) a)) (p (q b a) a),OR,AND,NAND
476,15,TRUE,'1111,4,no,λpqab.q a (p (q b a) a),OR,Q,NAND
477,13,NAND,'0111,4,no,λpqab.p (q (p (q b a) a) a) (p (q b a) a),OR,p AND NOT q,NAND
478,13,NAND,'0111,4,no,λpqab.p (q (p (q b a) a) a) (q a (p (q b a) a)),OR,XOR,NAND
479,15,TRUE,'1111,4,no,λpqab.p a (p (q b a) a),OR,P,NAND
